,0,1,2
59,森林小王纸,小凯 晚安,06月18日 22:16 来自网页    
60,盗梦者47611,  大哥晚安[心],06月18日 22:15 来自网页    
61,隔板三号,晚安,06月18日 22:15 来自网页    
62,爱生活爱美食呀,晚安[飞吻],06月18日 22:11 来自网页    
63,kjwrry,晚安[月亮][心],06月18日 22:11 来自网页    
64,YMY__橙海,端午安康！,06月18日 22:08 来自网页    
65,林小落与凯小喵,晚安宝宝，祝宝宝端午安康，乖乖吃饭好好休息，爱你宝宝[爱你][爱你][爱你][月亮][月亮][月亮],06月18日 22:07 来自网页    
66,karry最初的心,  大哥晚安[心],06月18日 22:07 来自网页    
67,那样Warm,好好照顾自己[爱你]晚安,06月18日 22:06 来自网页    
68,gogo凝净,今天被气到怀疑人生,06月18日 22:05 来自网页    
69,cite_24911,转发微博,06月18日 21:56 来自网页    
70,我要隐形当女神,[微笑],06月18日 21:55 来自网页    
71,隔板三号,晚上好 小凯,06月18日 21:52 来自网页    
72,隔板二号,安[爱心]️,06月18日 21:49 来自网页    
73,就是jk的迷妹i,转发微博,06月18日 21:48 来自网页    
74,隔板二号,晚安啦,06月18日 21:44 来自网页    
75,托马斯的荷兰猪,晚安[爱你],06月18日 21:40 来自网页    
76,李静静99,特别好听,06月18日 21:39 来自网页    
77,千夏风凯66262,转发微博,06月18日 21:38 来自网页    
78,用户6504313682细雨中飘的雪,[蓝心][蓝心][蓝心],06月18日 21:34 来自网页    
79,树读冰冰,[祈祷][祈祷][祈祷]wmqg,06月18日 21:32 来自网页    
80,张玮婷998,凯凯，我被骗了，好绝望[泪][泪][泪][泪],06月18日 21:29 来自网页    
81,冰岛的星辰大海,爱你,06月18日 21:22 来自网页    
82,团酱姐姐, 俊俊这是和你一起过的第四个粽子节了[爱你]节日快乐[蓝心],06月18日 21:17 来自网页    
83,凯不离蟹不弃-921胖K,小凯真棒，我们会一直陪着你的[心],06月18日 21:05 来自网页    
84,姐一个字拽,端午安康,06月18日 21:01 来自网页    
85,隔板二号,晚上好 小凯,06月18日 20:48 来自网页    
86,蓝莓味儿的小螃蟹吖,要好好的  爱你[爱心]️,06月18日 20:44 来自网页    
87,眸笑风轻,小凯，端午节快乐,06月18日 20:39 来自网页    
88,蹦蹦蹦boy, 我最爱的人端午快乐昂[爱你]记得吃粽子呀爱你[爱心],06月18日 20:38 来自网页    
89,凉笙墨染200207,好听，好听，好听，重要的事说三遍,06月18日 20:32 来自网页    
90,凯之默恋,[鼓掌][鼓掌],06月18日 20:25 来自网页    
91,用户6547269659,有点难听[可爱]但还是有点点点点点点点点点点点点点好听,06月18日 20:17 来自网页    
92,幸运的自己,转发微博,06月18日 20:15 来自网页    
93,蓝海-梅子,端午节快乐,06月18日 20:13 来自网页    
94,追击敌方阿轲,超爱你,06月18日 20:07 来自网页    
95,追击敌方阿轲,哥你是最棒的,06月18日 20:06 来自网页    
96,追击敌方阿轲,哥你怎么这么炫酷,06月18日 20:06 来自网页    
97,追击敌方阿轲,好喜欢哥,06月18日 20:06 来自网页    
98,King-Shan山,今天溜达路过必胜客门里面有一个你的立牌 于是我就鼓起了勇气进去(因为我是一个人，所以不好意思)小姐姐问我一个人吗我说嗯她问我点什么我拿着菜单翻当时想点个冰淇淋但没翻到我就问小姐姐 小姐姐说19元就两个球还不如去肯德基买 没想到小姐姐人这么好不知道她是不是猜出来我不是来吃东西，出来拍了你 ,06月18日 20:06 来自网页    
99,暖暖爱乖,  我喜欢你,06月18日 20:03 来自网页    
100,暖暖爱乖,小哥哥，你成功的撩到我了,06月18日 20:03 来自网页    
101,暖暖爱乖,树读,06月18日 20:02 来自网页    
102,暖暖爱乖,我爱你,06月18日 20:02 来自网页    
103,暖暖爱乖,王俊凯,06月18日 20:02 来自网页    
104,暖暖爱乖,他往上，想明白哪阳光,06月18日 20:02 来自网页    
105,快复制粘贴王俊凯,圆梦一代王俊凯[爱你],06月18日 19:59 来自网页    
106,双翼的天使不孤独52348,你最好,06月18日 19:58 来自网页    
107,纯真的我爱你51020,小凯怎么还不更新微博呀！,06月18日 19:51 来自网页    
108,fhfdgghj,大哥棒棒哒大哥 棒棒哒,06月18日 19:45 来自网页    
109,俊喵奶蟹,[抱抱],06月18日 19:38 来自网页    
110,俊喵奶蟹,[心],06月18日 19:38 来自网页    
111,小孩纸媛媛,我想去看你们的演唱会 我想见到喜欢了四年的你们 我想现在努力 我想花更多时间为了未来着想 我想成为更好的自己 最后我想一直喜欢TFBOYS[黄心],06月18日 19:37 来自网页    
112,宋安笙,超级喜欢,06月18日 19:37 来自网页    
113,宋安笙,我喜欢你♡,06月18日 19:36 来自网页    
114,一路守护王俊凯,日常表白,06月18日 19:28 来自网页    
115,一路守护王俊凯,王俊凯，端午节快乐[微笑]，爱你每一天,06月18日 19:27 来自网页    
116,邬童树下, ,06月18日 19:24 来自网页    
117,陈三土的的中二病,转发微博,06月18日 19:24 来自网页    
118,用户6106100668,啦啦啦啊啊啊吧,06月18日 19:20 来自网页    
119,Dream-蔡慧霞,哇哈哈哈，轉發量這麽多,06月18日 19:20 来自网页    
120,lmy快乐人生,王俊凯王俊凯王俊凯王俊凯王俊凯王俊凯王俊凯,06月18日 19:01 来自网页    
121,邱大琪专属,很好听,06月18日 18:58 来自网页    
122,每天都喜欢小俊,我也要像大树一样。才能保护我的小朋友[心],06月18日 18:53 来自网页    
123,每天都喜欢小俊,周末见,06月18日 18:52 来自网页    
124,Evak--Karry,转发微博,06月18日 18:42 来自网页    
125,一只酷酷的远儿,很优秀的少年,06月18日 18:40 来自网页    
126,甜啵女朋友,下午好,06月18日 18:38 来自网页    
127,喜欢吃番茄酱的胖蟹,太好听了[可怜][可怜],06月18日 18:30 来自网页    
128,俊凯煮螃蟹,端午安康,06月18日 18:27 来自网页    
129,庚深月,端午安康,06月18日 18:13 来自网页    
130,烟花三月98k,好听,06月18日 18:12 来自网页    
131,升空的红气球它是蓝的,端午节快乐,06月18日 18:07 来自网页    
